epoch,loss,accuracy,learning_rate,test_loss,test_accuracy
0,1.609386713213571,0.142,0.05,1.6093876500105204,0.138
1,1.6010810141356138,0.306,0.05,1.6007926083748911,0.302
2,1.5636526864283584,0.308,0.0499999750000125,1.562934729594763,0.316
3,1.5125385606093145,0.308,0.04999995000005001,1.5107017128759925,0.324
4,1.4480476058215148,0.314,0.0499999250001125,1.4444137137167667,0.33
5,1.3784096779627621,0.31,0.0499999000002,1.3725619255589867,0.332
6,1.3174025706096395,0.308,0.049999875000312506,1.3093664616941596,0.33
7,1.2758481371694752,0.312,0.04999985000045,1.2659500191784787,0.33
8,1.2542051468887339,0.312,0.0499998250006125,1.2426610365809794,0.326
9,1.2445864967201379,0.31,0.0499998000008,1.2314677263276324,0.33
10,1.2391063185886542,0.304,0.0499997750010125,1.224737900969652,0.33
11,1.2331934597016772,0.29,0.049999750001249996,1.2182700718335737,0.338
12,1.2240982149636905,0.3,0.049999725001512486,1.209456833963654,0.342
13,1.211746838246748,0.302,0.04999970000179999,1.1982029356541457,0.34
14,1.1993311681675756,0.316,0.04999967500211249,1.1873554721572908,0.34
15,1.1885690999325909,0.324,0.049999650002449984,1.1787798045284665,0.334
16,1.1787029801290407,0.306,0.049999625002812485,1.1717778751084118,0.338
17,1.1709662317109186,0.308,0.04999960000319998,1.1667367749951714,0.322
18,1.1658177070168834,0.306,0.04999957500361247,1.1640253811424996,0.322
19,1.1603718997667845,0.31,0.04999955000404997,1.1614180997932444,0.326
20,1.1536999670012487,0.322,0.04999952500451246,1.1576644916304188,0.338
21,1.1467847784499963,0.326,0.04999950000499995,1.153698592619132,0.332
22,1.1408212885847275,0.328,0.049999475005512446,1.150677848963517,0.334
23,1.136039301889261,0.324,0.04999945000604994,1.1483399577872933,0.324
24,1.1307134612275356,0.322,0.049999425006612426,1.1450383775655433,0.32
25,1.1244364555519142,0.328,0.04999940000719992,1.1403176585115402,0.314
26,1.118822546518172,0.326,0.04999937500781241,1.1360496246135858,0.324
27,1.1148635938426028,0.336,0.04999935000844989,1.1334184521828907,0.354
28,1.1120633200771024,0.336,0.049999325009112375,1.132150689539635,0.34
29,1.1095499799606845,0.346,0.049999300009799866,1.1309859174049934,0.342
30,1.1066931689694273,0.344,0.04999927501051235,1.1290550867119422,0.342
31,1.1032549035942063,0.366,0.04999925001124983,1.126453457080418,0.364
32,1.0994867922093552,0.368,0.049999225012012316,1.1241064049899077,0.358
33,1.0952892268288446,0.374,0.0499992000127998,1.1215505289967378,0.356
34,1.0909996720676136,0.378,0.04999917501361227,1.1183941179165529,0.37
35,1.0869255988703428,0.374,0.04999915001444976,1.1145097301638218,0.372
36,1.0830288039986404,0.376,0.049999125015312236,1.110715092583917,0.358
37,1.079366279446463,0.38,0.049999100016199706,1.1070200063236182,0.358
38,1.0754009056555969,0.382,0.04999907501711219,1.1035646217251842,0.354
39,1.0712519445607052,0.382,0.04999905001804966,1.100445772643678,0.358
40,1.0670757371907678,0.41,0.04999902501901213,1.0970527553311882,0.37
41,1.062988783751575,0.412,0.04999900001999961,1.0933366883365043,0.386
42,1.0583096202306863,0.428,0.049998975021012075,1.089601822197268,0.394
43,1.0536732702824256,0.432,0.049998950022049536,1.0857631239741599,0.408
44,1.0489608232450756,0.432,0.04999892502311201,1.0815630710570705,0.424
45,1.0442261248446942,0.438,0.049998900024199475,1.0771339014562138,0.422
46,1.0390458847702502,0.44,0.04999887502531193,1.072736458904934,0.436
47,1.033905463803906,0.442,0.04999885002644939,1.0686593024324866,0.442
48,1.0285702187157142,0.454,0.049998825027611854,1.064059142974803,0.458
49,1.0229183588416606,0.466,0.04999880002879931,1.0586981223345888,0.454
50,1.0169206062541796,0.482,0.049998775030011766,1.0533270290584136,0.454
51,1.010625236093652,0.48,0.04999875003124923,1.0474144378334418,0.45
52,1.0041725197583289,0.486,0.049998725032511675,1.0414420005221792,0.444
53,0.9976918272434894,0.488,0.04999870003379912,1.035461563215147,0.446
54,0.9911399625532525,0.502,0.04999867503511157,1.0302272224732565,0.468
55,0.9845118723233494,0.492,0.049998650036449016,1.023750516040425,0.446
56,0.9776331955603768,0.51,0.04999862503781146,1.0179309612846639,0.474
57,0.9703527411479855,0.498,0.04999860003919891,1.0110998816933021,0.454
58,0.9630108873663362,0.508,0.049998575040611344,1.0038374520278641,0.466
59,0.9560280299678495,0.53,0.049998550042048784,0.9971294466587308,0.486
60,0.9488110597339902,0.52,0.049998525043511224,0.9906221855560021,0.474
61,0.9409740129684822,0.546,0.04999850004499865,0.9831243971251561,0.488
62,0.9330494008365939,0.558,0.04999847504651108,0.9754665067340424,0.49
63,0.9251291170755007,0.542,0.049998450048048516,0.9690189227954176,0.494
64,0.9172802281854984,0.568,0.04999842504961094,0.9607123976897173,0.502
65,0.9091254601902633,0.566,0.04999840005119836,0.9532669325429838,0.494
66,0.9006532218937326,0.568,0.04999837505281078,0.9454903033833183,0.51
67,0.8921380069771688,0.574,0.04999835005444821,0.9364076080088982,0.514
68,0.8837026181313492,0.58,0.04999832505611062,0.929631244716958,0.516
69,0.875082335932638,0.6,0.04999830005779803,0.9200156588442251,0.532
70,0.8661667184421734,0.604,0.049998275059510454,0.9123715837866542,0.54
71,0.8574512036320209,0.602,0.04999825006124786,0.9037179644135178,0.538
72,0.8488655959990796,0.624,0.049998225063010264,0.8950983397116695,0.546
73,0.8401890526002346,0.618,0.049998200064797674,0.8880013244102182,0.556
74,0.8316140792199986,0.636,0.04999817506661007,0.8792587888018937,0.548
75,0.8228530559296573,0.638,0.04999815006844747,0.8725201390068338,0.566
76,0.81435348294911,0.66,0.04999812507030987,0.8627629393065633,0.574
77,0.8054665457665594,0.654,0.04999810007219726,0.8553854449200987,0.572
78,0.7962836867271366,0.662,0.049998075074109645,0.8452880952113399,0.58
79,0.7883239623460825,0.664,0.04999805007604704,0.8378975351983474,0.586
80,0.780556932174253,0.668,0.04999802507800942,0.8310935475381211,0.586
81,0.7720589092305932,0.672,0.0499980000799968,0.822324149161329,0.59
82,0.7642403553215209,0.67,0.04999797508200918,0.8157317269845588,0.588
83,0.7566273905667347,0.682,0.04999795008404656,0.8082372871019595,0.61
84,0.7485384623376237,0.672,0.04999792508610893,0.802582940252061,0.6
85,0.7407632267044717,0.684,0.049997900088196295,0.7932431538327535,0.622
86,0.7332986449075506,0.682,0.04999787509030867,0.7885331129302461,0.604
87,0.7258972042115083,0.696,0.049997850092446026,0.7797834493136219,0.622
88,0.7183389929540925,0.69,0.049997825094608386,0.7736353469091852,0.62
89,0.7110604897643327,0.696,0.04999780009679575,0.765942243640643,0.63
90,0.7034970991623267,0.71,0.049997775099008095,0.7590220967302685,0.646
